Name,Price,Rating,Description
"Nokia C32 (Beach Pink, 128 GB)","₹10,999",3.9,
"Nokia C22 (Sand, 64 GB)","₹7,899",3.7,
Nokia Asha 230 (Bright Red),"₹3,999",3.8,
"Nokia 2.2 (Steel, 32 GB)","₹9,599",4,
"Nokia C 30 (Green, 32 GB)","₹9,999",3.9,
"Nokia C22 Dual Sim with Jelly Case | 6.51 inch Display | 5000 mAh Battery (Purple, 64 GB)","₹9,499",3.6,
"Nokia 2.3 (Sand, 32 GB)","₹9,999",4,
"Nokia 2.2 (Steel, 16 GB)","₹8,599",4,
"Nokia C21 Plus (Dark Cyan, 32 GB)","₹9,999",3.7,
"Nokia 2.3 (Charcoal, 32 GB)","₹9,999",4,
"Nokia 3.2 (Steel, 32 GB)","₹12,399",4.1,
"Nokia C31 (Mint, 64 GB)","₹7,499",4,
"Nokia 2.2 (Black, 32 GB)","₹9,599",4,
"Nokia 5.1 Plus (Black, 64 GB)","₹13,150",4.1,
"Nokia 3.4 (Charcoal GREY, 64 GB)","₹13,999",4,
"Nokia 3 (Tempered Blue, 16 GB)","₹10,899",3.9,
"Nokia C22 (Purple, 64 GB)","₹7,899",3.7,
"Nokia C32 (Charcoal, 128 GB)","₹8,699",3.9,
"Nokia 5 (Tempered Blue, 16 GB)","₹11,990",4,
"Nokia 3.2 (Black, 32 GB)","₹12,399",4.1,
"Nokia C12 pro (Dark Cyan, 64 GB)","₹6,680",3.7,
"Nokia 1 (Warm Red, 8 GB)","₹3,972",3.9,
"Nokia 7.2 (Charcoal, 64 GB)","₹20,999",4.1,
"Nokia G10 (Dusk | Purple, 64 GB)","₹12,999",4.1,
